Target,Feature_Rank,Feature
kessler_dummy2,1,akan1
kessler_dummy2,2,big5consc_score1
kessler_dummy2,3,emp_stat1
kessler_dummy2,4,age_sq_1001
kessler_dummy2,5,radio_listening1
kessler_dummy2,6,alert_community1
kessler_dummy2,7,workdays_per_week1
kessler_dummy2,8,savings_yn1
kessler_dummy2,9,elec_ntnlgrid1
kessler_dummy2,10,emp_work_stat1
kessler_dummy2,11,big5agreeable_score1
kessler_dummy2,12,work_mother1
kessler_dummy2,13,big5extrav_score1
kessler_dummy2,14,happy_life1
kessler_dummy2,15,age_married1
kessler_dummy2,16,age_yrs1
kessler_dummy2,17,bmi1
kessler_dummy2,18,labor_community1
kessler_dummy2,19,outtrans_yn1
kessler_dummy2,20,errands1
kessler_dummy3,1,wealth1
kessler_dummy3,2,savings_yn1
kessler_dummy3,3,big5consc_score1
kessler_dummy3,4,age_married1
kessler_dummy3,5,educ1
kessler_dummy3,6,big5open_score1
kessler_dummy3,7,prop_U181
kessler_dummy3,8,age_sq_1001
kessler_dummy3,9,shared_dwelling1
kessler_dummy3,10,work_mother1
kessler_dummy3,11,happy_life1
kessler_dummy3,12,tv_watching1
kessler_dummy3,13,collecting_firewood1
kessler_dummy3,14,trusted_community1
kessler_dummy3,15,age_yrs1
kessler_dummy3,16,big5agreeable_score1
kessler_dummy3,17,errands1
kessler_dummy3,18,refuse_sex1
kessler_dummy3,19,big5extrav_score1
kessler_dummy3,20,kids_care1
kessler_dummy4,1,savings_yn1
kessler_dummy4,2,errands1
kessler_dummy4,3,improved_tf_w11
kessler_dummy4,4,wealth1
kessler_dummy4,5,age_sq_1001
kessler_dummy4,6,educ1
kessler_dummy4,7,prop_hh_nhis1
kessler_dummy4,8,hh_size1
kessler_dummy4,9,prop_U181
kessler_dummy4,10,shared_dwelling1
kessler_dummy4,11,kids_care1
kessler_dummy4,12,big5extrav_score1
kessler_dummy4,13,alert_community1
kessler_dummy4,14,bmi1
kessler_dummy4,15,happy_life1
kessler_dummy4,16,age_married1
kessler_dummy4,17,labor_community1
kessler_dummy4,18,big5agreeable_score1
kessler_dummy4,19,work_father1
kessler_dummy4,20,ladderlife_com1
