Target,Model,Feature Rank,Feature,Importance
kessler_dummy2,decision_tree,1,akan1,0.17075791772802373
kessler_dummy2,decision_tree,2,ladderlife_com1,0.14228944092352036
kessler_dummy2,decision_tree,3,ladderlife_gh1,0.11628149415744317
kessler_dummy2,decision_tree,4,region_old1,0.11552629447004739
kessler_dummy2,decision_tree,5,wealth1,0.11353173721406186
kessler_dummy2,decision_tree,6,man_decides1,0.07486181317989903
kessler_dummy2,decision_tree,7,emp_work_stat1,0.04918481302919555
kessler_dummy2,decision_tree,8,rel_stat1,0.04886172186546054
kessler_dummy2,decision_tree,9,elec_com_days1,0.04627590423422771
kessler_dummy2,decision_tree,10,healthstatus1,0.045266731138015076
kessler_dummy2,decision_tree,11,yr_elec_ntnlgrid1,0.04201397414574748
kessler_dummy2,decision_tree,12,elec_com_cntd1,0.035148157914358054
kessler_dummy3,decision_tree,1,wealth1,0.17567652962390382
kessler_dummy3,decision_tree,2,total_fertility1,0.1288142393466483
kessler_dummy3,decision_tree,3,ladderlife_gh1,0.12174777106364199
kessler_dummy3,decision_tree,4,ladderlife_com1,0.11690783846431943
kessler_dummy3,decision_tree,5,region_old1,0.10270263536833753
kessler_dummy3,decision_tree,6,elec_com_cntd1,0.06607679902028896
kessler_dummy3,decision_tree,7,yr_elec_ntnlgrid1,0.05573311339101099
kessler_dummy3,decision_tree,8,healthstatus1,0.0463693775347922
kessler_dummy3,decision_tree,9,educ1,0.044716868521521104
kessler_dummy3,decision_tree,10,elec_com_days1,0.04139064832249293
kessler_dummy3,decision_tree,11,emp_work_stat1,0.03712650361327525
kessler_dummy3,decision_tree,12,kessler_dummy1,0.03396579853603154
kessler_dummy3,decision_tree,13,alert_community1,0.028771877193736004
kessler_dummy4,decision_tree,1,total_fertility1,0.10752327187740862
kessler_dummy4,decision_tree,2,savings_yn1,0.10640976076620413
kessler_dummy4,decision_tree,3,ladderlife_com1,0.10250431021696346
kessler_dummy4,decision_tree,4,hh_size1,0.09049332177507208
kessler_dummy4,decision_tree,5,ladderlife_gh1,0.08593666688208065
kessler_dummy4,decision_tree,6,region_old1,0.07880840390871201
kessler_dummy4,decision_tree,7,wealth1,0.07400151296049681
kessler_dummy4,decision_tree,8,yr_elec_ntnlgrid1,0.04723494398106565
kessler_dummy4,decision_tree,9,alert_community1,0.0451192775092528
kessler_dummy4,decision_tree,10,kids_care1,0.043425074348060595
kessler_dummy4,decision_tree,11,educ1,0.03763791137458662
kessler_dummy4,decision_tree,12,elec_com_days1,0.03598937353114454
kessler_dummy4,decision_tree,13,polygamous1,0.034457417761569534
kessler_dummy4,decision_tree,14,elec_com_cntd1,0.03086722972052933
kessler_dummy4,decision_tree,15,emp_work_stat1,0.02743602327605971
kessler_dummy4,decision_tree,16,improved_tf_w11,0.02661550056539756
kessler_dummy4,decision_tree,17,healthstatus1,0.0255399995453959
