Feature,Importance,Feature_Rank,Target
wealth1,0.04719522760191681,1,kessler_dummy3
prop_U181,0.04187555846025964,2,kessler_dummy3
big5consc_score1,0.04068366985746898,3,kessler_dummy3
savings_yn1,0.03844996455371372,4,kessler_dummy3
age_sq_1001,0.03824714961011003,5,kessler_dummy3
age_yrs1,0.03770341034261751,6,kessler_dummy3
big5open_score1,0.0360142600310627,7,kessler_dummy3
height1,0.03353068213815251,8,kessler_dummy3
big5extrav_score1,0.03296101153137794,9,kessler_dummy3
big5neurotic_score1,0.032247188192777484,10,kessler_dummy3
big5agreeable_score1,0.031734897186835836,11,kessler_dummy3
bmi1,0.03126762813105826,12,kessler_dummy3
age_married1,0.03035895970928612,13,kessler_dummy3
tv_watching1,0.029399778316158972,14,kessler_dummy3
hh_size1,0.029228375934475623,15,kessler_dummy3
ladderlife_com1,0.02481628838059715,16,kessler_dummy3
educ1,0.02407811788411835,17,kessler_dummy3
shared_dwelling1,0.02307195263374103,18,kessler_dummy3
ladderlife_gh1,0.022712482165976197,19,kessler_dummy3
region_old1,0.022437411546400776,20,kessler_dummy3
