Feature,Importance,Feature_Rank,Target
big5extrav_score1,0.03984977375633937,1,kessler_dummy4
wealth1,0.03960303269658118,2,kessler_dummy4
savings_yn1,0.03859133755599984,3,kessler_dummy4
big5agreeable_score1,0.0357107767833865,4,kessler_dummy4
age_yrs1,0.035414851227363923,5,kessler_dummy4
age_sq_1001,0.034508055993088954,6,kessler_dummy4
big5open_score1,0.0342130477129652,7,kessler_dummy4
prop_hh_nhis1,0.034184749557710815,8,kessler_dummy4
big5consc_score1,0.03314360467425671,9,kessler_dummy4
age_married1,0.03292931573896644,10,kessler_dummy4
improved_tf_w11,0.032359368687474445,11,kessler_dummy4
big5neurotic_score1,0.03184893218579452,12,kessler_dummy4
bmi1,0.03127558099957515,13,kessler_dummy4
height1,0.03051544612216349,14,kessler_dummy4
prop_U181,0.029257457730138894,15,kessler_dummy4
errands1,0.02898653454941768,16,kessler_dummy4
educ1,0.027951494440142267,17,kessler_dummy4
ladderlife_com1,0.026666595121618734,18,kessler_dummy4
hh_size1,0.02567548160245946,19,kessler_dummy4
kids_care1,0.02236121543653518,20,kessler_dummy4
