Target,Feature_Rank,Feature
kessler_dummy2,1,akan1
kessler_dummy2,2,emp_stat1
kessler_dummy2,3,radio_listening1
kessler_dummy2,4,happy_life1
kessler_dummy2,5,educ1
kessler_dummy2,6,elec_ntnlgrid1
kessler_dummy2,7,errands1
kessler_dummy2,8,work_father1
kessler_dummy2,9,maritalstatus1
kessler_dummy2,10,rur_primsec1
kessler_dummy2,11,savings_yn1
kessler_dummy2,12,outtrans_yn1
kessler_dummy2,13,work_mother1
kessler_dummy2,14,borrow_yn1
kessler_dummy2,15,kessler_dummy1
kessler_dummy2,16,labor_community1
kessler_dummy2,17,alert_community1
kessler_dummy2,18,man_decides1
kessler_dummy2,19,emp_work_stat1
kessler_dummy2,20,rel_stat1
kessler_dummy3,1,shared_dwelling1
kessler_dummy3,2,maritalstatus1
kessler_dummy3,3,savings_yn1
kessler_dummy3,4,work_father1
kessler_dummy3,5,educ1
kessler_dummy3,6,collecting_firewood1
kessler_dummy3,7,tv_watching1
kessler_dummy3,8,borrow_yn1
kessler_dummy3,9,prop_U181
kessler_dummy3,10,happy_life1
kessler_dummy3,11,educ_father1
kessler_dummy3,12,errands1
kessler_dummy3,13,work_mother1
kessler_dummy3,14,kids_care1
kessler_dummy3,15,refuse_sex1
kessler_dummy3,16,rel_stat1
kessler_dummy3,17,rur_primsec1
kessler_dummy3,18,labor_community1
kessler_dummy3,19,kessler_dummy1
kessler_dummy3,20,wealth1
kessler_dummy4,1,shared_dwelling1
kessler_dummy4,2,errands1
kessler_dummy4,3,improved_tf_w11
kessler_dummy4,4,savings_yn1
kessler_dummy4,5,kids_care1
kessler_dummy4,6,work_father1
kessler_dummy4,7,labor_community1
kessler_dummy4,8,maritalstatus1
kessler_dummy4,9,educ1
kessler_dummy4,10,happy_life1
kessler_dummy4,11,educ_father1
kessler_dummy4,12,rel_stat1
kessler_dummy4,13,emp_stat1
kessler_dummy4,14,wife_decides1
kessler_dummy4,15,rur_primsec1
kessler_dummy4,16,polygamous1
kessler_dummy4,17,wealth1
kessler_dummy4,18,alert_community1
kessler_dummy4,19,age_sq_1001
kessler_dummy4,20,age_yrs1
