Target,Feature_Rank,Feature
kessler_dummy2,1,total_fertility1
kessler_dummy2,2,wealth1
kessler_dummy2,3,alert_community1
kessler_dummy2,4,akan1
kessler_dummy2,5,educ1
kessler_dummy2,6,workdays_per_week1
kessler_dummy2,7,radio_listening1
kessler_dummy2,8,savings_yn1
kessler_dummy2,9,errands1
kessler_dummy2,10,region_old1
kessler_dummy2,11,emp_stat1
kessler_dummy2,12,man_decides1
kessler_dummy2,13,work_mother1
kessler_dummy2,14,elec_ntnlgrid1
kessler_dummy2,15,outtrans_yn1
kessler_dummy2,16,helpful_community1
kessler_dummy2,17,trusted_community1
kessler_dummy2,18,happy_life1
kessler_dummy2,19,wife_expresses1
kessler_dummy2,20,labor_community1
kessler_dummy3,1,wealth1
kessler_dummy3,2,total_fertility1
kessler_dummy3,3,educ1
kessler_dummy3,4,savings_yn1
kessler_dummy3,5,region_old1
kessler_dummy3,6,helpful_community1
kessler_dummy3,7,trusted_community1
kessler_dummy3,8,alert_community1
kessler_dummy3,9,maritalstatus1
kessler_dummy3,10,refuse_sex1
kessler_dummy3,11,educ_father1
kessler_dummy3,12,rel_stat1
kessler_dummy3,13,tv_watching1
kessler_dummy3,14,errands1
kessler_dummy3,15,work_mother1
kessler_dummy3,16,wife_decides1
kessler_dummy3,17,happy_life1
kessler_dummy3,18,shared_dwelling1
kessler_dummy3,19,kids_care1
kessler_dummy3,20,work_father1
kessler_dummy4,1,wealth1
kessler_dummy4,2,total_fertility1
kessler_dummy4,3,alert_community1
kessler_dummy4,4,polygamous1
kessler_dummy4,5,wife_decides1
kessler_dummy4,6,savings_yn1
kessler_dummy4,7,errands1
kessler_dummy4,8,educ1
kessler_dummy4,9,improved_tf_w11
kessler_dummy4,10,rel_stat1
kessler_dummy4,11,refuse_sex1
kessler_dummy4,12,drinking_water_w11
kessler_dummy4,13,kids_care1
kessler_dummy4,14,region_old1
kessler_dummy4,15,emp_work_stat1
kessler_dummy4,16,hh_size1
kessler_dummy4,17,ladderlife_gh1
kessler_dummy4,18,childmortality1
kessler_dummy4,19,labor_community1
kessler_dummy4,20,educ_father1
