Feature,Importance,Feature_Rank,Traget
akan1,0.6620952206626827,1,kessler_dummy2
radio_listening1,0.557896659514603,2,kessler_dummy2
work_mother1,0.5057527745334778,3,kessler_dummy2
savings_yn1,0.5023131421980441,4,kessler_dummy2
alert_community1,0.4992987494884078,5,kessler_dummy2
errands1,0.4771727014841346,6,kessler_dummy2
emp_stat1,0.46719006300357296,7,kessler_dummy2
educ1,0.4617158870288828,8,kessler_dummy2
elec_ntnlgrid1,0.4317932123299742,9,kessler_dummy2
outtrans_yn1,0.4189621260967611,10,kessler_dummy2
happy_life1,0.41642599946600345,11,kessler_dummy2
wealth1,0.38882975071493103,12,kessler_dummy2
labor_community1,0.3481743435314944,13,kessler_dummy2
maritalstatus1,0.3439127016775123,14,kessler_dummy2
workdays_per_week1,0.3300979123009717,15,kessler_dummy2
work_father1,0.3166849352529343,16,kessler_dummy2
total_fertility1,0.2969649308116879,17,kessler_dummy2
borrow_yn1,0.2931878831404791,18,kessler_dummy2
rur_primsec1,0.2773848062332421,19,kessler_dummy2
helpful_community1,0.23741693235269848,20,kessler_dummy2
