Feature,Importance,Feature_Rank,Target
shared_dwelling1,0.9959569101235809,1,kessler_dummy3
maritalstatus1,0.804587008707777,2,kessler_dummy3
savings_yn1,0.7483665752033294,3,kessler_dummy3
work_father1,0.7265120610654424,4,kessler_dummy3
educ1,0.6668069405320997,5,kessler_dummy3
collecting_firewood1,0.6236489808891257,6,kessler_dummy3
tv_watching1,0.5775023625039808,7,kessler_dummy3
borrow_yn1,0.5622190688206412,8,kessler_dummy3
prop_U181,0.5469788947575491,9,kessler_dummy3
happy_life1,0.5465792672333332,10,kessler_dummy3
educ_father1,0.5026474184551633,11,kessler_dummy3
errands1,0.45036561922791174,12,kessler_dummy3
work_mother1,0.43214341414332624,13,kessler_dummy3
kids_care1,0.37770478126249457,14,kessler_dummy3
refuse_sex1,0.354216891934282,15,kessler_dummy3
rel_stat1,0.3321635393819657,16,kessler_dummy3
rur_primsec1,0.30554526971288654,17,kessler_dummy3
labor_community1,0.2909400986469707,18,kessler_dummy3
kessler_dummy1,0.2840662577636198,19,kessler_dummy3
wealth1,0.254864887270162,20,kessler_dummy3
