Target,Model,Feature Rank,Feature,Importance
kessler_dummy2,random_forest,1,akan1,0.13913382097114418
kessler_dummy2,random_forest,2,ladderlife_com1,0.13684947046305312
kessler_dummy2,random_forest,3,region_old1,0.12635693920166396
kessler_dummy2,random_forest,4,wealth1,0.12127784989394028
kessler_dummy2,random_forest,5,ladderlife_gh1,0.11208958996279676
kessler_dummy2,random_forest,6,man_decides1,0.07251565110476134
kessler_dummy2,random_forest,7,rel_stat1,0.05779220923840653
kessler_dummy2,random_forest,8,emp_work_stat1,0.052216393886095336
kessler_dummy2,random_forest,9,elec_com_cntd1,0.047734577425479284
kessler_dummy2,random_forest,10,yr_elec_ntnlgrid1,0.04771592515503917
kessler_dummy2,random_forest,11,elec_com_days1,0.04496500049493959
kessler_dummy2,random_forest,12,healthstatus1,0.04135257220268046
kessler_dummy3,random_forest,1,wealth1,0.1491716509692771
kessler_dummy3,random_forest,2,ladderlife_com1,0.12710720601991737
kessler_dummy3,random_forest,3,total_fertility1,0.12036116345892203
kessler_dummy3,random_forest,4,region_old1,0.11696226935330369
kessler_dummy3,random_forest,5,ladderlife_gh1,0.1078146827424592
kessler_dummy3,random_forest,6,elec_com_cntd1,0.06241247270368438
kessler_dummy3,random_forest,7,yr_elec_ntnlgrid1,0.058243629927769165
kessler_dummy3,random_forest,8,educ1,0.05804776356679537
kessler_dummy3,random_forest,9,alert_community1,0.04753925837698023
kessler_dummy3,random_forest,10,elec_com_days1,0.04350864151798529
kessler_dummy3,random_forest,11,emp_work_stat1,0.041685056513392965
kessler_dummy3,random_forest,12,healthstatus1,0.04086673247852462
kessler_dummy3,random_forest,13,kessler_dummy1,0.026279472370988727
kessler_dummy4,random_forest,1,hh_size1,0.09456880526520947
kessler_dummy4,random_forest,2,ladderlife_com1,0.09352410932268378
kessler_dummy4,random_forest,3,total_fertility1,0.08849246475291248
kessler_dummy4,random_forest,4,wealth1,0.08554164970446239
kessler_dummy4,random_forest,5,region_old1,0.08488250648129579
kessler_dummy4,random_forest,6,ladderlife_gh1,0.08206734910906098
kessler_dummy4,random_forest,7,savings_yn1,0.06688485212083153
kessler_dummy4,random_forest,8,improved_tf_w11,0.050564734152679876
kessler_dummy4,random_forest,9,yr_elec_ntnlgrid1,0.04933208376961404
kessler_dummy4,random_forest,10,educ1,0.04879828129177147
kessler_dummy4,random_forest,11,kids_care1,0.045210391125675466
kessler_dummy4,random_forest,12,alert_community1,0.044157215705765196
kessler_dummy4,random_forest,13,polygamous1,0.037162911244365306
kessler_dummy4,random_forest,14,elec_com_cntd1,0.035133479753492056
kessler_dummy4,random_forest,15,emp_work_stat1,0.03299477636789424
kessler_dummy4,random_forest,16,elec_com_days1,0.031165681949307328
kessler_dummy4,random_forest,17,healthstatus1,0.029518707882978553
