Target,Feature_Rank,Feature
kessler_dummy2,1,akan1
kessler_dummy2,2,radio_listening1
kessler_dummy2,3,emp_stat1
kessler_dummy2,4,savings_yn1
kessler_dummy2,5,elec_ntnlgrid1
kessler_dummy2,6,workdays_per_week1
kessler_dummy2,7,alert_community1
kessler_dummy2,8,happy_life1
kessler_dummy2,9,outtrans_yn1
kessler_dummy2,10,work_mother1
kessler_dummy2,11,educ1
kessler_dummy2,12,age_sq_1001
kessler_dummy2,13,big5consc_score1
kessler_dummy2,14,labor_community1
kessler_dummy2,15,age_yrs1
kessler_dummy2,16,errands1
kessler_dummy2,17,big5agreeable_score1
kessler_dummy2,18,wealth1
kessler_dummy2,19,man_decides1
kessler_dummy2,20,borrow_yn1
kessler_dummy3,1,savings_yn1
kessler_dummy3,2,tv_watching1
kessler_dummy3,3,wealth1
kessler_dummy3,4,educ1
kessler_dummy3,5,prop_U181
kessler_dummy3,6,happy_life1
kessler_dummy3,7,shared_dwelling1
kessler_dummy3,8,big5consc_score1
kessler_dummy3,9,work_mother1
kessler_dummy3,10,age_sq_1001
kessler_dummy3,11,errands1
kessler_dummy3,12,hh_size1
kessler_dummy3,13,kids_care1
kessler_dummy3,14,educ_father1
kessler_dummy3,15,borrow_yn1
kessler_dummy3,16,age_yrs1
kessler_dummy3,17,refuse_sex1
kessler_dummy3,18,collecting_firewood1
kessler_dummy3,19,helpful_community1
kessler_dummy3,20,big5open_score1
kessler_dummy4,1,savings_yn1
kessler_dummy4,2,improved_tf_w11
kessler_dummy4,3,errands1
kessler_dummy4,4,wealth1
kessler_dummy4,5,educ1
kessler_dummy4,6,kids_care1
kessler_dummy4,7,shared_dwelling1
kessler_dummy4,8,happy_life1
kessler_dummy4,9,alert_community1
kessler_dummy4,10,big5extrav_score1
kessler_dummy4,11,educ_father1
kessler_dummy4,12,prop_hh_nhis1
kessler_dummy4,13,labor_community1
kessler_dummy4,14,big5agreeable_score1
kessler_dummy4,15,age_sq_1001
kessler_dummy4,16,ladderlife_com1
kessler_dummy4,17,prop_U181
kessler_dummy4,18,hh_size1
kessler_dummy4,19,big5consc_score1
kessler_dummy4,20,age_yrs1
