Target,Feature_Rank,Feature
kessler_dummy3,1,savings_yn1
kessler_dummy3,2,tv_watching1
kessler_dummy3,3,wealth1
kessler_dummy3,4,educ1
kessler_dummy3,5,prop_U181
kessler_dummy3,6,happy_life1
kessler_dummy3,7,shared_dwelling1
kessler_dummy3,8,big5consc_score1
kessler_dummy3,9,work_mother1
kessler_dummy3,10,age_sq_1001
kessler_dummy3,11,errands1
kessler_dummy3,12,hh_size1
kessler_dummy3,13,kids_care1
kessler_dummy3,14,educ_father1
kessler_dummy3,15,borrow_yn1
kessler_dummy3,16,age_yrs1
kessler_dummy3,17,refuse_sex1
kessler_dummy3,18,collecting_firewood1
kessler_dummy3,19,helpful_community1
kessler_dummy3,20,big5open_score1
